product_id,scene_id,bbox,category,scene_url,product_url,valid,scene_path,product_path,category_v1
518276936f6bf72a34ae84bba7527638,02068aafc31d8912742429c5a6c79e36,"[0.333778, 0.580387, 0.682935, 0.875396]",Shoes,http://i.pinimg.com/400x/02/06/8a/02068aafc31d8912742429c5a6c79e36.jpg,http://i.pinimg.com/400x/51/82/76/518276936f6bf72a34ae84bba7527638.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/02068aafc31d8912742429c5a6c79e36.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/518276936f6bf72a34ae84bba7527638.jpg,foootwear
879e0191299d5808b9e6a0d60be76d54,b9ecb957cc6ed7ed621183f7b96cd18c,"[0.209559, 0.789917, 0.422523, 1.0]",Shoes,http://i.pinimg.com/400x/b9/ec/b9/b9ecb957cc6ed7ed621183f7b96cd18c.jpg,http://i.pinimg.com/400x/87/9e/01/879e0191299d5808b9e6a0d60be76d54.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/b9ecb957cc6ed7ed621183f7b96cd18c.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/879e0191299d5808b9e6a0d60be76d54.jpg,foootwear
27c1be5162e8d932a4ae726a660752f4,72a1bf21b54d946d192b255f9ae142c7,"[0.406469, 0.814005, 0.542961, 0.995606]",Shoes,http://i.pinimg.com/400x/72/a1/bf/72a1bf21b54d946d192b255f9ae142c7.jpg,http://i.pinimg.com/400x/27/c1/be/27c1be5162e8d932a4ae726a660752f4.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/72a1bf21b54d946d192b255f9ae142c7.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/27c1be5162e8d932a4ae726a660752f4.jpg,foootwear
43e2a01add84ccf492c2de1a3b4ce418,8e8638bf9754f8e1b95e730f8bcef8e1,"[0.337291, 0.373248, 0.602138, 0.924449]",Clothing|Pants,http://i.pinimg.com/400x/8e/86/38/8e8638bf9754f8e1b95e730f8bcef8e1.jpg,http://i.pinimg.com/400x/43/e2/a0/43e2a01add84ccf492c2de1a3b4ce418.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/8e8638bf9754f8e1b95e730f8bcef8e1.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/43e2a01add84ccf492c2de1a3b4ce418.jpg,bottomwear
170c6b623d49577f296b4c0a04c0d13b,2ea001cc62fe979622011e51491b2124,"[0.587054, 0.17122, 0.691964, 0.218579]",Shoes,http://i.pinimg.com/400x/2e/a0/01/2ea001cc62fe979622011e51491b2124.jpg,http://i.pinimg.com/400x/17/0c/6b/170c6b623d49577f296b4c0a04c0d13b.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/2ea001cc62fe979622011e51491b2124.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/170c6b623d49577f296b4c0a04c0d13b.jpg,foootwear
cd079ff897f8562c360adf6719ef7cae,0c1c8a071956d041fad4be50c57cba1f,"[0.402913, 0.378871, 0.497573, 0.415301]",Clothing Accessories|Sunglasses,http://i.pinimg.com/400x/0c/1c/8a/0c1c8a071956d041fad4be50c57cba1f.jpg,http://i.pinimg.com/400x/cd/07/9f/cd079ff897f8562c360adf6719ef7cae.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/0c1c8a071956d041fad4be50c57cba1f.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/cd079ff897f8562c360adf6719ef7cae.jpg,accessories
3cf97390a6af987a7c7f09fa2d393a89,d0e46c18b723b6cffa3a9430dccb13b8,"[0.315046, 0.44401, 0.600936, 0.867486]",Clothing|Pants,http://i.pinimg.com/400x/d0/e4/6c/d0e46c18b723b6cffa3a9430dccb13b8.jpg,http://i.pinimg.com/400x/3c/f9/73/3cf97390a6af987a7c7f09fa2d393a89.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/d0e46c18b723b6cffa3a9430dccb13b8.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/3cf97390a6af987a7c7f09fa2d393a89.jpg,bottomwear
5a546d4c012af5278ce7b5b4153a340a,69cf7b97b0a9e51dbd9b9f82adc08f2e,"[0.398058, 0.469945, 0.604369, 0.703097]",Clothing|Outerwear|Coats & Jackets,http://i.pinimg.com/400x/69/cf/7b/69cf7b97b0a9e51dbd9b9f82adc08f2e.jpg,http://i.pinimg.com/400x/5a/54/6d/5a546d4c012af5278ce7b5b4153a340a.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/69cf7b97b0a9e51dbd9b9f82adc08f2e.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/5a546d4c012af5278ce7b5b4153a340a.jpg,topwear
a0a51c62de0611190e0d1fe8622a2e00,4c85d38d1b779ba41a386a14dd5698f4,"[0.373575, 0.467574, 0.726735, 0.707425]",Clothing|Outerwear|Coats & Jackets,http://i.pinimg.com/400x/4c/85/d3/4c85d38d1b779ba41a386a14dd5698f4.jpg,http://i.pinimg.com/400x/a0/a5/1c/a0a51c62de0611190e0d1fe8622a2e00.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/4c85d38d1b779ba41a386a14dd5698f4.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/a0a51c62de0611190e0d1fe8622a2e00.jpg,topwear
ea1a1afba7830b3561ba2c23843adcd5,3928914e54c715198d2ba563350c60d3,"[0.274322, 0.891903, 0.421712, 1.0]",Clothing|Shorts,http://i.pinimg.com/400x/39/28/91/3928914e54c715198d2ba563350c60d3.jpg,http://i.pinimg.com/400x/ea/1a/1a/ea1a1afba7830b3561ba2c23843adcd5.jpg,True,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/3928914e54c715198d2ba563350c60d3.jpg,/Users/shameekphukan/Documents/LSE/ST456/2025-projects-the-gradient-descendants/data/images/ea1a1afba7830b3561ba2c23843adcd5.jpg,bottomwear
